Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,
Afghanistan,AFG,,,,,,3,,,,,21,,,,,41,,,48,,,
Albania,ALB,,,,,,96,,,,,97,,,,,97,,,97,,,
Algeria,DZA,94,,,,,93,,,,,89,,,,,85,,,83,,,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,100,,,,,100,,,,,100,,,,,100,,,100,,,
Angola,AGO,36,,,,,36,,,,,41,,,,,47,,,50,,,
Antigua and Barbuda,ATG,,,,,,91,,,,,91,,91,,91,,,,,,,
Argentina,ARG,94,,,,,95,,,,,96,,,,,96,,,97,,,
Armenia,ARM,,,,,,92,,,,,93,,,,,95,,,96,,,
Aruba,ABW,100,,,,,100,,,,,100,,,,,100,,,100,,,
Australia,AUS,100,,,,,100,,,,,100,,,,,100,,,100,,,
Austria,AUT,100,,,,,100,,,,,100,,,,,100,,,100,,,
Azerbaijan,AZE,70,,,,,71,,,,,74,,,,,77,,,80,,,
"Bahamas, The",BHS,,,,,,96,,,,,96,,97,,97,,,,,,,
Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,78,,,,,78,,,,,79,,,,,80,,,80,,,
Barbados,BRB,100,,,,,100,,,,,100,,100,,100,100,,,100,,,
Belarus,BLR,100,,,,,100,,,,,100,,,,,100,,,100,,,
Belgium,BEL,100,,,,,100,,,,,100,,,,,100,,,100,,,
Belize,BLZ,75,,,,,82,,,,,89,,91,,91,96,,,99,,,
Benin,BEN,56,,,,,61,,,,,66,,,,,72,,,75,,,
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,,,,,,,,,,,91,,,,,91,,,92,,,
Bolivia,BOL,70,,,,,75,,,,,79,,,,,84,,,86,,,
Bosnia and Herzegovina,BIH,,,,,,97,,,,,97,,,,,98,,,99,,,
Botswana,BWA,93,,,,,94,,,,,94,,,,,95,,,95,,,
Brazil,BRA,88,,,,,91,,,,,93,,,,,95,,,97,,,
Brunei Darussalam,BRN,,,,,,,,,,,,,,,99,,,,,,,
Bulgaria,BGR,100,,,,,100,,,,,100,,,,,100,,,100,,,
Burkina Faso,BFA,41,,,,,49,,,,,60,,,,,70,,,76,,,
Burundi,BDI,70,,,,,71,,,,,72,,,,,72,,,72,,,
Cambodia,KHM,35,,,,,37,,,,,46,,,,,56,,,61,,,
Cameroon,CMR,50,,,,,57,,,,,64,,,,,71,,,74,,,
Canada,CAN,100,,,,,100,,,,,100,,,,,100,,,100,,,
Cape Verde,CPV,,,,,,82,,,,,83,,,,,84,,,84,,,
Cayman Islands,CYM,,,,,,93,,,,,93,,,,,95,,,95,,,
Central African Republic,CAF,58,,,,,60,,,,,63,,,,,65,,,67,,,
Chad,TCD,38,,,,,42,,,,,45,,,,,49,,,50,,,
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,90,,,,,92,,,,,94,,,,,96,,,96,,,
China,CHN,67,,,,,74,,,,,80,,,,,86,,,89,,,
Colombia,COL,88,,,,,90,,,,,91,,,,,92,,,92,,,
Comoros,COM,87,,,,,90,,,,,92,,,,,95,,,95,,,
"Congo, Dem. Rep.",ZAR,45,,,,,44,,,,,44,,,,,45,,,46,,,
"Congo, Rep.",COG,,,,,,,,,,,70,,,,,71,,,71,,,
Costa Rica,CRI,93,,,,,94,,,,,95,,,,,96,,,97,,,
Cote d'Ivoire,CIV,76,,,,,77,,,,,78,,,,,79,,,80,,,
Croatia,HRV,,,,,,99,,,,,99,,,,,99,,,99,,,
Cuba,CUB,82,,,,,86,,,,,90,,,,,92,,,94,,,
Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,100,,,,,100,,,,,100,,,,,100,,,100,,,
Czech Republic,CZE,100,,,,,100,,,,,100,,,,,100,,,100,,,
Denmark,DNK,100,,,,,100,,,,,100,,,,,100,,,100,,,
Djibouti,DJI,77,,,,,78,,,,,84,,,,,89,,,92,,,
Dominica,DMA,,,,,,95,,,,,95,,97,,97,95,,,,,,
Dominican Republic,DOM,88,,,,,88,,,,,87,,,,,87,,,86,,,
Ecuador,ECU,72,,,,,79,,,,,86,,,,,92,,,94,,,
"Egypt, Arab Rep.",EGY,90,,,,,93,,,,,96,,,,,98,,,99,,,
El Salvador,SLV,74,,,,,78,,,,,82,,,,,86,,,87,,,
Equatorial Guinea,GNQ,,,,,,43,,,,,43,,,,,43,,,,,,
Eritrea,ERI,43,,,,,46,,,,,54,,,,,60,,,61,,,
Estonia,EST,98,,,,,98,,,,,98,,,,,98,,,98,,,
Ethiopia,ETH,17,,,,,22,,,,,28,,,,,35,,,38,,,
Faeroe Islands,FRO,,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,100,,,,,100,,,,,100,,,,,100,,,100,,,
France,FRA,100,,,,,100,,,,,100,,,,,100,,,100,,,
French Polynesia,PYF,100,,,,,100,,,,,100,,,,,100,,,100,,,
Gabon,GAB,,,,,,84,,,,,85,,,,,86,,,87,,,
"Gambia, The",GMB,74,,,,,79,,,,,84,,,,,89,,,92,,,
Georgia,GEO,81,,,,,82,,,,,89,,,,,96,,,98,,,
Germany,DEU,100,,,,,100,,,,,100,,,,,100,,,100,,,
Ghana,GHA,54,,,,,63,,,,,71,,,,,78,,,82,,,
Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,96,,,,,98,,,,,99,,,,,100,,,100,,,
Greenland,GRL,,,,,,,,,,,,,,,,,,,,,,
Grenada,GRD,,,,,,94,,,,,94,,95,,95,,,,,,,
Guam,GUM,100,,,,,100,,,,,100,,,,,100,,,100,,,
Guatemala,GTM,82,,,,,86,,,,,89,,,,,92,,,94,,,
Guinea,GIN,52,,,,,58,,,,,62,,,,,68,,,71,,,
Guinea-Bissau,GNB,,,,,,52,,,,,55,,,,,58,,,61,,,
Guyana,GUY,,,,,,87,,,,,89,,83,,83,92,,,94,,,
Haiti,HTI,47,,,,,52,,,,,55,,,,,60,,,63,,,
Honduras,HND,72,,,,,76,,,,,80,,,,,84,,,86,,,
"Hong Kong SAR, China",HKG,,,,,,,,,,,,,,,,,,,,,,
Hungary,HUN,96,,,,,97,,,,,99,,,,,100,,,100,,,
Iceland,ISL,100,,,,,100,,,,,100,,,,,100,,,100,,,
India,IND,72,,,,,76,,,,,81,,,,,85,,,88,,,
Indonesia,IDN,71,,,,,74,,,,,77,,,,,80,,,80,,,
"Iran, Islamic Rep.",IRN,91,,,,,92,,,,,93,,,,,,,,,,,
Iraq,IRQ,81,,,,,80,,,,,80,,,,,80,,,79,,,
Ireland,IRL,100,,,,,100,,,,,100,,,,,100,,,100,,,
Isle of Man,IMY,,,,,,,,,,,,,,,,,,,,,,
Israel,ISR,100,,,,,100,,,,,100,,,,,100,,,100,,,
Italy,ITA,100,,,,,100,,,,,100,,,,,100,,,100,,,
Jamaica,JAM,93,,,,,93,,,,,93,,93,,93,93,,,94,,,
Japan,JPN,100,,,,,100,,,,,100,,,,,100,,,100,,,
Jordan,JOR,97,,,,,96,,,,,96,,,,,96,,,96,,,
Kazakhstan,KAZ,96,,,,,96,,,,,96,,,,,96,,,95,,,
Kenya,KEN,43,,,,,48,,,,,52,,,,,56,,,59,,,
Kiribati,KIR,48,,,,,54,,,,,62,,,,,61,,,,,,
"Korea, Dem. Rep.",PRK,100,,,,,100,,,,,100,,,,,100,,,100,,,
"Korea, Rep.",KOR,,,,,,90,,,,,93,,,,,96,,,98,,,
Kosovo,KSV,,,,,,,,,,,,,,,,,,,,,,
Kuwait,KWT,99,,,,,99,,,,,99,,,,,99,,,99,,,
Kyrgyz Republic,KGZ,,,,,,78,,,,,82,,,,,87,,,90,,,
Lao PDR,LAO,,,,,,44,,,,,48,,,,,54,,,57,,,
Latvia,LVA,99,,,,,99,,,,,99,,,,,99,,,99,,,
Lebanon,LBN,100,,,,,100,,,,,100,,,,,100,,,100,,,
Lesotho,LSO,61,,,,,64,,,,,74,,,,,83,,,85,,,
Liberia,LBR,58,,,,,61,,,,,65,,,,,67,,,68,,,
Libya,LBY,54,,,,,54,,,,,54,,,,,,,,,,,
Liechtenstein,LIE,,,,,,,,,,,,,,,,,,,,,,
Lithuania,LTU,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,LUX,100,,,,,100,,,,,100,,,,,100,,,100,,,
"Macao SAR, China",MAC,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",MKD,,,,,,,,,,,100,,,,,100,,,100,,,
Madagascar,MDG,31,,,,,34,,,,,37,,,,,40,,,41,,,
Malawi,MWI,40,,,,,51,,,,,63,,,,,74,,,80,,,
Malaysia,MYS,88,,,,,92,,,,,97,,,,,100,,,100,,,
Maldives,MDV,90,,,,,90,,,,,91,,,,,90,,,91,,,
Mali,MLI,29,,,,,36,,,,,44,,,,,51,,,56,,,
Malta,MLT,100,,,,,100,,,,,100,,,,,100,,,100,,,
Marshall Islands,MHL,95,,,,,95,,,,,95,,,,,95,,,94,,,
Mauritania,MRT,30,,,,,36,,,,,40,,,,,45,,,49,,,
Mauritius,MUS,99,,,,,99,,,,,99,,,,,99,,,99,,,
Mayotte,MYT,,,,,,,,,,,,,,,,,,,,,,
Mexico,MEX,85,,,,,88,,,,,90,,,,,93,,,94,,,
"Micronesia, Fed. Sts.",FSM,89,,,,,90,,,,,92,,,,,94,,,,,,
Moldova,MDA,,,,,,93,,,,,92,,,,,90,,,90,,,
Monaco,MCO,100,,,,,100,,,,,100,,,,,100,,,100,,,
Mongolia,MNG,58,,,,,59,,,,,66,,,,,73,,,76,,,
Montenegro,MNE,,,,,,,,,,,98,,,,,98,,,98,,,
Morocco,MAR,74,,,,,76,,,,,78,,,,,80,,,81,,,
Mozambique,MOZ,36,,,,,38,,,,,42,,,,,45,,,47,,,
Myanmar,MMR,57,,,,,60,,,,,66,,,,,71,,,71,,,
Namibia,NAM,64,,,,,73,,,,,81,,,,,88,,,92,,,
Nepal,NPL,76,,,,,80,,,,,83,,,,,86,,,88,,,
Netherlands,NLD,100,,,,,100,,,,,100,,,,,100,,,100,,,
New Caledonia,NCL,,,,,,,,,,,,,,,,,,,,,,
New Zealand,NZL,100,,,,,100,,,,,100,,,,,100,,,100,,,
Nicaragua,NIC,74,,,,,77,,,,,80,,,,,83,,,85,,,
Niger,NER,35,,,,,39,,,,,42,,,,,45,,,48,,,
Nigeria,NGA,47,,,,,50,,,,,53,,,,,57,,,58,,,
Northern Mariana Islands,MNP,98,,,,,98,,,,,98,,,,,98,,,98,,,
Norway,NOR,100,,,,,100,,,,,100,,,,,100,,,100,,,
Oman,OMN,80,,,,,81,,,,,83,,,,,86,,,88,,,
Pakistan,PAK,86,,,,,87,,,,,88,,,,,89,,,90,,,
Palau,PLW,81,,,,,81,,,,,83,,,,,84,,,,,,
Panama,PAN,84,,,,,87,,,,,90,,,,,93,,,93,,,
Papua New Guinea,PNG,41,,,,,41,,,,,39,,,,,41,,,40,,,
Paraguay,PRY,52,,,,,64,,,,,74,,,,,83,,,86,,,
Peru,PER,75,,,,,77,,,,,79,,,,,81,,,82,,,
Philippines,PHL,84,,,,,87,,,,,88,,,,,90,,,91,,,
Poland,POL,100,,,,,100,,,,,100,,,,,100,,,100,,,
Portugal,PRT,96,,,,,97,,,,,99,,,,,99,,,99,,,
Puerto Rico,PRI,,,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,100,,,,,100,,,,,100,,,,,100,,,100,,,
Romania,ROM,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,93,,,,,94,,,,,95,,,,,96,,,96,,,
Rwanda,RWA,68,,,,,67,,,,,67,,,,,66,,,65,,,
Samoa,WSM,91,,,,,90,,,,,89,,,,,88,,,,,,
San Marino,SMR,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,STP,,,,,,75,,,,,79,,,,,85,,,89,,,
Saudi Arabia,SAU,89,,,,,90,,,,,,,,,95.7,,,,,,,
