Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,AFG,,,,41.48758,,,,,,,,,,,,55.07727,,,,,
Albania,ALB,,,,,,,93.21263,,,103.54019,100.61958,100.22322,98.61028,96.65809,94.38137,,,,,90.38915,
Algeria,DZA,88.81057,85.58879,88.22707,86.90402,84.67309,84.72359,86.99775,85.96832,,85.78643,82.81981,89.65617,91.61447,93.2904,94.03622,96.06929,,94.25238,119.46619,89.59697,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,,,,,,,,,,,,,104.31034,103.8674,98.68074,,,,,,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,104.58599,95.74468,
Argentina,ARG,,,,,,,93.96812,92.6377,100.91078,99.16887,98.4897,97.90581,101.10315,99.191,98.29712,96.22562,97.99436,100.48211,103.20198,,
Armenia,ARM,,,,,,,,,,,,,92.9781,88.70776,101.02843,91.88723,91.12928,96.20995,,,
Aruba,ABW,,,,,,,,,,102.00308,98.93455,91.47982,93.73178,96.74221,97.52747,92.23561,97.6378,94.68912,92.27799,96.91517,
Australia,AUS,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,,,,,,,,,98.2849,97.70667,,,102.26403,104.56478,102.60782,100.6062,100.63802,101.96489,99.33938,96.86387,
Azerbaijan,AZE,,,,95.65842,92.02911,,77.38155,100.51602,96.00913,92.55349,93.76524,96.32161,94.59821,95.09535,96.28642,97.25189,91.68856,97.17258,91.66038,92.07533,
"Bahamas, The",BHS,,,,,,,,,,76.93093,,,,93.55899,100.51563,98.7619,95.49464,97.85557,93.09577,,
Bahrain,BHR,,96.43813,95.19346,95.343,90.15379,90.8443,89.88543,,89.16273,97.17504,96.04723,96.54652,103.20638,102.13501,100.69602,101.36464,,,98.07473,102.51112,
Bangladesh,BGD,,,,,,,,,,,57.54042,,,,,58.95151,55.60566,,51.94829,57.90326,
Barbados,BRB,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,,,,94.9557,97.49056,95.6488,94.88371,96.89435,,100.14536,101.69205,103.86737,127.54031,97.8762,99.1506,97.00859,96.01791,93.16185,,,
Belgium,BEL,,76.04109,,,,,,,,,,,,,,,85.76659,84.18018,84.19055,85.40523,
Belize,BLZ,,,95.73478,,,87.40589,92.37906,,,91.49002,95.17961,94.65095,92.66845,93.12354,96.13513,98.53356,100,99.22524,98.12569,103.21871,
Benin,BEN,26.80819,29.84546,30.39442,33.45001,36.12044,42.22602,45.66908,48.79351,52.43647,,51.00245,55.79322,58.29565,62.46973,64.72816,,,,74.904,70.51978,
Bermuda,BMU,,,,,,,,,,,,98.37209,99.29742,96.21749,,,,,,,
Bhutan,BTN,,,,28.06263,32.46814,,,,52.38294,55.08463,55.30596,55.17241,,,,65.10025,73.40752,,81.52545,84.58837,
Bolivia,BOL,78.35592,,,,,,,,,101.11324,101.91669,102.19287,105.89332,103.54447,102.48083,,101.80763,97.89871,99.34826,,
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,81.24749,82.51049,83.98785,83.92968,87.63645,86.05007,88.30137,,90.42881,87.97692,88.56895,90.71282,92.95409,92.9415,92.91162,91.49014,95.69917,93.46621,,,
Brazil,BRA,,,,,,,,,,,,109.80144,,,,,,,,,
Brunei Darussalam,BRN,,,,,,,,111.49724,120.8649,124.03315,121.96947,129.80404,122.30505,124.4363,111.69769,103.05281,104.88804,105.25027,104.62208,103.0807,
Bulgaria,BGR,100.96243,87.69476,87.14288,84.72256,86.27464,86.76578,90.69747,96.32867,97.15861,100.58274,99.43729,104.12163,97.5664,99.11163,99.42787,98.27201,97.95371,98.61914,90.86223,93.66846,
Burkina Faso,BFA,24.28803,24.52041,31.29949,32.52733,33.2958,21.76446,27.00697,,,27.23232,29.44585,31.15563,31.37649,32.55248,33.77524,35.12752,35.93106,38.29797,42.31704,46.30543,49.75636
Burundi,BDI,48.24866,49.22017,55.84739,59.46041,,,,,,23.67702,26.78591,28.04589,28.8324,35.12246,39.72203,40.97907,,45.58191,48.42209,54.20392,
Cambodia,KHM,,,,,,49.88502,,19.8435,36.13067,45.40415,,56.58579,64.12219,69.45857,79.44718,86.83152,87.12318,85.3842,79.90173,,
Cameroon,CMR,56.1113,56.96042,,,,,,,,52.77456,53.36696,,52.53312,61.45166,64.37402,56.31972,56.00628,60.67454,78.80442,79.57972,
Canada,CAN,,,,,,,,,93.87316,95.18395,,,,,,,95.96963,,,,
Cape Verde,CPV,56.57143,,,,69.74261,,,,94.20692,103.93006,101.48805,96.31373,98.00281,96.97819,96.57,80.28763,90.59119,85.01967,89.63829,86.69521,
Cayman Islands,CYM,,,,,,,,,,,104.72103,112.4,103.73134,,94.40789,80.06231,90.11976,75,91.14286,,
Central African Republic,CAF,42.01906,37.01875,30.03784,,,,,,,,,,,33.94551,30.4161,33.13119,32.55791,41.14161,44.78866,47.3286,51.01985
Chad,TCD,26.39503,28.74744,,,27.53365,21.83804,22.47381,23.13769,0,29.00939,32.01201,34.9823,38.63178,44.94869,46.11633,41.78342,40.9157,40.16862,,42.49706,
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,,,,,,,,,90.76659,98.46645,98.63156,,101.17677,97.71723,96.17667,,,101.11587,,,
China,CHN,,,,,,,96.2238,96.69717,,,,,,,,,,,,,
Colombia,COL,62.52584,69.67344,75.41042,79.34509,80.50848,84.27848,85.61186,,91.13193,92.49733,92.80508,90.44686,91.04952,,98.71296,101.98567,107.53689,108.64422,108.84264,112.8994,
Comoros,COM,,,42.74062,,,,,,,51.81946,,,67.74714,67.20571,70.28892,71.11331,,73.68277,90.98405,,
"Congo, Dem. Rep.",ZAR,,60.87119,56.18296,61.25208,52.41319,,,,,33.28197,,,44.91697,,,,,58.10413,62.92209,66.06224,
"Congo, Rep.",COG,59.29454,58.6475,60.51991,62.9672,53.92053,,47.75569,,,,,55.326,58.65748,56.46497,82.72362,72.17625,80.41544,79.06351,75.01812,76.57522,
Costa Rica,CRI,,77.41752,79.61743,82.17216,80.48418,79.40953,79.69234,,,79.71556,84.78581,87.11606,90.32632,90.42556,91.20742,90.98155,87.36254,89.80299,90.63534,94.77384,
Cote d'Ivoire,CIV,49.82564,53.34125,49.23577,50.50475,49.59225,47.98525,49.50388,50.99437,,,51.26252,54.39145,,,,,53.60228,52.8581,,54.23855,
Croatia,HRV,,,,,,81.57257,85.98551,86.66796,91.83019,91.20739,92.75616,94.86822,96.56447,92.13827,,94.22952,97.09257,101.87751,99.17415,96.80681,
Cuba,CUB,,,,,,,,,,100.10352,104.5571,100.44473,102.90033,96.90474,93.10433,93.18623,91.93913,93.40643,89.92019,98.26246,
Curacao,CUW,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,83.70384,89.35687,91.0854,100.96061,103.97086,99.5756,98.12467,98.53899,,101.56877,98.02643,97.55493,100.01796,99.36486,88.09077,100.30179,100.89286,99.94413,100.78695,103.00226,
Czech Republic,CZE,,,,90.85118,97.55689,,109.60401,,,100.65939,99.53577,99.45074,104.59947,102.57956,103.71785,103.04446,95.4279,94.81193,95.35275,98.58723,
Denmark,DNK,94.63883,97.55805,97.01239,99.6745,97.68815,,,,103.61441,103.38965,101.40141,101.55827,104.60887,,98.84909,99.10664,101.09411,100.38939,,96.46699,
Djibouti,DJI,,,,,,,,,,28.99822,33.18347,32.35019,,37.87849,38.07511,35.49771,39.33599,,45.86143,36.85963,
Dominica,DMA,,,,,,,,,,105.98291,113.04985,124.66568,109.97067,108.68946,107.57576,103.09556,93.25236,92.48957,88.23529,89.54041,
Dominican Republic,DOM,,,,,,,,,,66.60462,71.75864,85.20108,84.11195,80.93451,81.76947,,78.07941,85.54769,,89.59869,
Ecuador,ECU,,,,,90.50154,88.82116,89.15552,93.42543,,96.23454,97.83459,98.65602,99.47916,99.51788,99.99929,104.97464,105.64449,105.27459,,,
"Egypt, Arab Rep.",EGY,,,,,,,,89.37283,,92.97456,90.84847,87.95062,85.10914,87.52898,90.08331,96.48727,91.67266,97.34874,,97.51758,
El Salvador,SLV,,63.89024,64.909,67.77379,,69.55796,75.76947,,79.25099,89.74223,89.50924,86.17931,84.34416,83.33042,83.69778,84.42382,83.81793,86.02463,87.67001,,
Equatorial Guinea,GNQ,,,,,53.88056,,,,,61.41132,,44.25902,43.0106,41.77981,,45.5114,,,44.86336,47.50186,49.53557
Eritrea,ERI,,,,,20.60362,27.01653,39.6759,43.91964,,38.63965,40.20206,39.90733,40.31747,45.08429,52.48909,59.40847,56.99487,53.22148,52.11535,52.38966,
Estonia,EST,,,,,,79.45996,90.94109,,,88.64554,90.90832,96.74643,98.43328,104.63943,102.91127,106.93222,101.8826,100.88732,99.53931,,
Ethiopia,ETH,,,,,17.05324,17.90828,19.80138,,23.01926,26.78721,29.76535,36.53137,40.8073,44.07481,45.88408,50.6618,52.88629,53.57031,56.05357,57.24269,
Faeroe Islands,FRO,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,,,,,,,,,104.11981,103.55525,101.28966,99.40842,100.97775,101.08227,101.65002,100.51452,98.35124,89.805,92.26203,,
Finland,FIN,101.7712,97.79978,95.5209,94.42424,95.81371,100.40561,100.37034,,98.49663,97.29389,96.83,102.00444,101.28948,102.58385,99.66327,100.68103,97.059,97.88159,98.62889,97.45149,
France,FRA,,,,,,,,,,97.37238,98.59807,,,,,,,,,,
French Polynesia,PYF,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,,,58.84534,,,67.88653,66.82783,69.98613,,,,,70.93863,68.08472,,,,,,,
"Gambia, The",GMB,,,56.18437,51.83958,51.86496,53.08282,60.12704,,,83.95062,81.95342,81.45549,78.3763,78.77428,75.78954,70.37937,67.36058,72.79581,75.63908,76.0637,70.59547
Georgia,GEO,,,,,,,,,,86.6854,99.49064,99.9414,97.36835,93.12135,95.54804,87.39455,84.44471,95.15447,102.62763,110.13263,
Germany,DEU,,,,99.30208,95.98234,95.2761,96.05737,99.13383,,103.23561,105.00205,105.02839,99.71591,97.91766,97.25385,95.68769,98.5903,104.25437,103.31313,103.5504,
Ghana,GHA,,71.33732,73.28676,,,,,,,70.80904,73.78203,69.32515,70.5597,67.28181,72.2713,75.91134,71.60743,78.23858,84.19355,84.5438,
Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,,,98.85754,,,,,,,,,,,,103.32874,100.08218,103.75814,101.87444,,,
Greenland,GRL,,,,,,,,,,,,,,,,,,,,,
Grenada,GRD,,,,,,,,,,,77.23055,82.31047,91.91395,97.37046,,112.81169,,99.1573,118.72587,133.69458,
Guam,GUM,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,,,,,,,52.53102,,,58.29329,62.91872,65.49172,68.91049,69.91528,74.55013,78.19085,80.39481,80.33212,83.11469,,
Guinea,GIN,28.46144,24.3329,23.93551,27.22576,28.37872,28.82939,,,35.63255,40.71205,43.53354,45.28869,49.66781,47.80869,59.45186,66.76778,71.16731,70.68189,62.47782,70.53916,
Guinea-Bissau,GNB,,,,,,,,,,39.0759,39.2797,,,,,,,,,,
Guyana,GUY,,,85.72354,83.27586,,75.46311,76.73803,81.88149,,103.28947,107.91223,106.30246,107.63647,97.99555,98.87779,,,112.8467,110.89133,109.42321,
Haiti,HTI,29.81886,28.58538,,,,,,48.42638,,,,,,,,,,,,,
Honduras,HND,,67.04931,,64.9234,,,,,,,,,,,78.96241,79.03508,85.8697,,86.87331,,
"Hong Kong SAR, China",HKG,,,,,,,,,,,,,,104.67171,100.59204,96.38192,94.62924,94.71589,91.94287,92.18976,
Hungary,HUN,88.51855,,,,,,,99.23986,100.05875,98.64848,98.28168,98.92182,100.59715,98.29959,96.83158,96.34455,99.12797,95.25544,96.60992,95.28233,
Iceland,ISL,,,,,,,,,86.3153,90.89219,101.62639,110.28124,102.99048,107.60389,98.49203,101.47804,97.3233,96.73093,95.16334,99.30796,
India,IND,,,,,,83.33828,,,,77.62074,79.9072,78.9941,81.94896,82.64171,87.13033,87.77003,88.67158,95.25645,95.34639,,
Indonesia,IDN,,,,,,98.33779,98.05151,100.85741,,,,97.80305,100.08017,102.10449,102.29667,101.94024,101.74544,109.28118,107.13583,108.87425,
"Iran, Islamic Rep.",IRN,89.32257,92.99109,95.71515,101.15076,99.05233,103.42163,,103.16386,,,104.23914,108.70919,108.36293,104.47429,106.50558,104.09072,99.67417,94.68622,97.17441,100.83554,
Iraq,IRQ,,,,62.69481,,,,,,61.45072,60.01828,64.65901,,88.20129,87.33352,,,72.68956,,,
Ireland,IRL,,,103.31995,103.63288,101.76455,100.75521,,,95.46607,97.25163,96.79425,93.70728,96.04165,99.4098,98.23694,96.18274,,,,,
Isle of Man,IMY,,,,,,,,,,,,,,,,,,,,,
Israel,ISR,,,,,,,,,,,,,101.28221,101.33793,104.38721,101.13023,100.1089,100.83365,98.55941,100.96742,
